date,time,language,links
20081011,60000,ru,1
20081114,150000,pl,1
20081112,20000,fr,7
20081224,180000,en,112
20081031,170000,en,236
20081206,0,ja,1
20081106,190000,sv,2
20081022,190000,de,99
20081102,140000,en,155
20081014,1,ru,3
20081107,20000,sv,1
20081226,50000,en,59
20081008,70000,pl,1
20081126,40000,id,1
20081015,160000,de.n,1
20081202,80001,nl,1
20081121,130000,nl,2
20081108,1,fr,2
20081109,200000,commons.m,6
20081031,1,de,10
20081125,110000,sv,1
20081006,70000,fr,12
20081007,230000,it,20
20081126,50000,pt,3
20081101,140000,en.n,3
20081217,50000,es,3
20081221,70001,ro,2
20081115,180000,en,138
20081110,200000,es,3
20081107,90000,hu,1
20081230,220000,nl,6
20081011,180000,commons.m,1
20081019,230000,pt.n,1
20081009,150000,www,1
20081009,40000,fr,6
20081213,190000,fr,6
20081026,100000,de.n,1
20081006,0,pl,3
20081030,20000,id,1
20081226,70001,ru,2
20081017,100001,id,8
20081217,140000,commons.m,3
20081229,30000,es,2
20081129,10001,de,6
20081014,160000,de.n,2
20081202,230000,de,27
20081028,210000,ja,1
20081205,160000,sv,2
20081004,40001,pt,1
20081229,120000,en.n,1
20081005,80000,commons.m,2
20081017,100001,en,202
20081223,150000,ru,2
20081015,140000,nl,12
20081213,50000,ro,2
20081019,80001,es,3
20081217,100000,es,6
20081014,230000,en.n,3
20081015,190000,pt,1
20081221,20000,en,73
20081006,150000,es,15
20081103,20000,en.n,1
20081025,130000,de.n,1
20081225,200000,en,83
20081013,150000,fr.n,1
20081207,130000,en,94
20081221,90000,fr.n,1
20081124,170000,de,44
20081011,200000,en,313
20081009,180000,it,33
20081030,10000,de,1
20081103,60001,en.n,2
20081213,150000,nl,1
20081001,150000,ro,6
20081003,20000,en.n,1
20081009,110000,fi,1
20081205,140001,ru,5
20081020,120000,pl,2
20081213,40000,id,1
20081026,220000,sv,1
20081121,1,fi,1
20081206,120000,hu,1
20081028,210000,fr,12
20081114,20000,da,1
20081119,70000,en.n,1
20081202,100000,en,133
20081017,160001,commons.m,2
20081008,150001,nl,10
20081006,180000,pl,2
20081008,180000,pl,3
20081023,150000,tr,2
20081212,10000,de,12
20081126,90000,pl,1
20081027,60001,id,3
20081125,10000,nl,1
20081025,40000,pt,1
20081012,230000,fi,1
20081004,150000,de.n,2
20081105,10000,it,3
20081227,0,fr,6
20081002,200000,hu,1
20081220,130001,ro,1
20081003,220001,commons,2
20081130,140000,hu,1
20081004,170000,id,2
20081011,190001,tr,2
20081002,100000,fr,32
20081113,130000,es,6
20081217,30000,es,1
20081112,210000,fi,2
20081210,90000,ro,1
20081223,40000,ja,1
20081013,190001,en,467
20081006,20000,sv,1
20081212,90000,pl,3
20081022,170001,el,1
20081228,140001,fr,10
20081127,20000,it,2
20081220,10001,es.n,1
20081012,100000,no,1
20081028,160000,pt,7
20081229,230000,it,1
20081009,0,sv,1
20081106,230001,tr,2
20081012,230000,fr,12
20081019,20001,de,3
20081030,230000,ru,2
20081008,70000,en.n,3
20081005,130000,id,6
20081119,190000,de,35
20081205,120000,en,112
20081019,80001,hu,4
20081011,140000,pt.n,3
20081006,140000,nl,10
20081024,150000,en,275
20081021,110000,de,59
20081205,220000,fr.n,2
20081212,50000,es,3
20081009,130000,vi,4
20081016,130000,pt,1
20081016,230000,fr.n,1
20081113,80000,en,160
20081018,40000,commons,2
20081115,200000,hu,1
20081007,10000,pt,3
20081024,180001,ru,4
20081209,90000,ca,1
20081021,20000,nl,1
20081029,200000,it,8
20081109,130000,it,3
20081021,50000,pt,1
20081001,200000,tr,4
20081117,200000,pl,3
20081017,110000,en.n,1
20081230,150000,lt,1
20081214,20000,en,74
20081102,140000,de,31
20081219,30000,sv,1
20081020,160000,nl,4
20081001,210000,pt,3
20081008,120000,da,2
20081211,190000,de,25
20081226,0,ru,1
20081104,90000,es,4
20081017,220000,de,37
20081204,210000,en.n,4
20081223,170000,es.n,1
20081031,190000,da,2
20081124,110000,ru,4
20081112,230000,pt,1
20081206,110000,en.n,1
20081230,110000,sv,2
20081208,160001,fr,19
20081220,50000,tr,1
20081010,200000,en.n,6
20081004,210000,pt,2
20081210,200000,fr,6
20081227,180000,nl,2
20081227,20001,sv,1
20081005,130000,nl,12
20081028,210000,pt.n,1
20081208,200000,fr,10
20081226,10001,es,1
20081023,80000,id,2
20081201,130000,en.n,1
20081019,180000,en,263
20081024,10000,nl,1
20081026,210000,en.n,2
20081105,70000,ru,8
20081014,200000,en,340
20081001,140000,en,500
20081105,190000,commons.m,4
20081123,190000,fr,20
20081013,10001,fr,5
20081223,120000,en.n,1
20081208,180000,pl,1
20081104,170000,ru,4
20081215,170000,es,11
20081005,0,commons.m,2
20081026,130000,ja,2
20081014,70000,it,8
20081226,10001,lt,1
20081108,220000,es,3
20081117,10000,id,1
20081205,70000,es,4
20081006,50000,es,13
20081015,60000,de.n,1
20081206,130000,nl,1
20081012,200000,es,14
20081006,70000,de,59
20081016,230000,fi,3
20081002,10000,ko,1
20081023,130000,ru,10
20081104,210000,sv,1
20081218,70000,vi,1
20081013,180000,ru,7
20081212,100000,en.n,5
20081110,60000,es,1
20081008,190000,en.n,4
20081002,100000,fi,1
20081012,220000,tr,2
20081005,30000,pl,5
20081104,130000,id,2
20081204,200001,ja,2
20081010,150000,tr,2
20081009,170000,sv,3
20081201,110000,da,1
20081013,140000,commons.m,3
20081209,190000,commons.m,2
20081208,80000,de,11
20081203,130001,es,2
20081010,200000,ru,6
20081020,120000,de,67
20081225,110000,en,45
20081223,0,da,1
20081111,40000,en,162
20081209,180000,fi,1
20081125,190000,hu,2
20081011,50000,sv,1
20081016,180000,nl,6
20081004,220001,pt,1
